# SYNTHETIC REHEARSAL — not bench data; generated from sim/tests/test_mr_ingest.py ground truth by tools/swap_mr_v1.py --rehearse
tag_scale_mm,range_m,view_angle_deg,occlusion_frac_est,illuminance_lux,n_frames,n_detected,detector_version,notes,reproj_rms_px
150,3.0,0,0.0,800,400,384,apriltag3-ref,,0.38
150,3.0,0,0.1,800,400,296,apriltag3-ref,,0.38
150,3.0,0,0.2,800,400,219,apriltag3-ref,,0.38
150,3.0,0,0.3,800,400,154,apriltag3-ref,,0.38
150,3.0,0,0.4,800,400,99,apriltag3-ref,,0.38
150,3.0,0,0.5,800,400,55,apriltag3-ref,,0.38
150,3.0,0,0.6,800,400,22,apriltag3-ref,,0.38
150,3.0,0,0.7,800,400,0,apriltag3-ref,,0.38
150,3.0,20,0.0,800,400,339,apriltag3-ref,,0.38
150,3.0,20,0.1,800,400,262,apriltag3-ref,,0.38
150,3.0,20,0.2,800,400,194,apriltag3-ref,,0.38
150,3.0,20,0.3,800,400,136,apriltag3-ref,,0.38
150,3.0,20,0.4,800,400,87,apriltag3-ref,,0.38
150,3.0,20,0.5,800,400,48,apriltag3-ref,,0.38
150,3.0,20,0.6,800,400,19,apriltag3-ref,,0.38
150,3.0,20,0.7,800,400,0,apriltag3-ref,,0.38
150,3.0,40,0.0,800,400,225,apriltag3-ref,,0.38
150,3.0,40,0.1,800,400,174,apriltag3-ref,,0.38
150,3.0,40,0.2,800,400,129,apriltag3-ref,,0.38
150,3.0,40,0.3,800,400,90,apriltag3-ref,,0.38
150,3.0,40,0.4,800,400,58,apriltag3-ref,,0.38
150,3.0,40,0.5,800,400,32,apriltag3-ref,,0.38
150,3.0,40,0.6,800,400,13,apriltag3-ref,,0.38
150,3.0,40,0.7,800,400,0,apriltag3-ref,,0.38
150,3.0,60,0.0,800,400,96,apriltag3-ref,,0.38
150,3.0,60,0.1,800,400,74,apriltag3-ref,,0.38
150,3.0,60,0.2,800,400,55,apriltag3-ref,,0.38
150,3.0,60,0.3,800,400,38,apriltag3-ref,,0.38
150,3.0,60,0.4,800,400,25,apriltag3-ref,,0.38
150,3.0,60,0.5,800,400,14,apriltag3-ref,,0.38
150,3.0,60,0.6,800,400,5,apriltag3-ref,,0.38
150,3.0,60,0.7,800,400,0,apriltag3-ref,,0.38
150,1.0,0,0.0,800,400,384,apriltag3-ref,,0.38
150,1.0,0,0.1,800,400,296,apriltag3-ref,,0.38
150,1.0,0,0.2,800,400,219,apriltag3-ref,,0.38
150,1.0,0,0.3,800,400,154,apriltag3-ref,,0.38
150,1.0,0,0.4,800,400,99,apriltag3-ref,,0.38
150,1.0,0,0.5,800,400,55,apriltag3-ref,,0.38
150,1.0,0,0.6,800,400,22,apriltag3-ref,,0.38
150,1.0,0,0.7,800,400,0,apriltag3-ref,,0.38
150,1.0,20,0.0,800,400,339,apriltag3-ref,,0.38
150,1.0,20,0.1,800,400,262,apriltag3-ref,,0.38
150,1.0,20,0.2,800,400,194,apriltag3-ref,,0.38
150,1.0,20,0.3,800,400,136,apriltag3-ref,,0.38
150,1.0,20,0.4,800,400,87,apriltag3-ref,,0.38
150,1.0,20,0.5,800,400,48,apriltag3-ref,,0.38
150,1.0,20,0.6,800,400,19,apriltag3-ref,,0.38
150,1.0,20,0.7,800,400,0,apriltag3-ref,,0.38
150,1.0,40,0.0,800,400,225,apriltag3-ref,,0.38
150,1.0,40,0.1,800,400,174,apriltag3-ref,,0.38
150,1.0,40,0.2,800,400,129,apriltag3-ref,,0.38
150,1.0,40,0.3,800,400,90,apriltag3-ref,,0.38
150,1.0,40,0.4,800,400,58,apriltag3-ref,,0.38
150,1.0,40,0.5,800,400,32,apriltag3-ref,,0.38
150,1.0,40,0.6,800,400,13,apriltag3-ref,,0.38
150,1.0,40,0.7,800,400,0,apriltag3-ref,,0.38
150,1.0,60,0.0,800,400,96,apriltag3-ref,,0.38
150,1.0,60,0.1,800,400,74,apriltag3-ref,,0.38
150,1.0,60,0.2,800,400,55,apriltag3-ref,,0.38
150,1.0,60,0.3,800,400,38,apriltag3-ref,,0.38
150,1.0,60,0.4,800,400,25,apriltag3-ref,,0.38
150,1.0,60,0.5,800,400,14,apriltag3-ref,,0.38
150,1.0,60,0.6,800,400,5,apriltag3-ref,,0.38
150,1.0,60,0.7,800,400,0,apriltag3-ref,,0.38
10,0.3,0,0.0,800,400,384,apriltag3-ref,,0.38
10,0.3,0,0.1,800,400,296,apriltag3-ref,,0.38
10,0.3,0,0.2,800,400,219,apriltag3-ref,,0.38
10,0.3,0,0.3,800,400,154,apriltag3-ref,,0.38
10,0.3,0,0.4,800,400,99,apriltag3-ref,,0.38
10,0.3,0,0.5,800,400,55,apriltag3-ref,,0.38
10,0.3,0,0.6,800,400,22,apriltag3-ref,,0.38
10,0.3,0,0.7,800,400,0,apriltag3-ref,,0.38
10,0.3,20,0.0,800,400,339,apriltag3-ref,,0.38
10,0.3,20,0.1,800,400,262,apriltag3-ref,,0.38
10,0.3,20,0.2,800,400,194,apriltag3-ref,,0.38
10,0.3,20,0.3,800,400,136,apriltag3-ref,,0.38
10,0.3,20,0.4,800,400,87,apriltag3-ref,,0.38
10,0.3,20,0.5,800,400,48,apriltag3-ref,,0.38
10,0.3,20,0.6,800,400,19,apriltag3-ref,,0.38
10,0.3,20,0.7,800,400,0,apriltag3-ref,,0.38
