# SYNTHETIC REHEARSAL — not bench data; generated from sim/tests/test_mr_ingest.py ground truth by tools/swap_mr_v1.py --rehearse
layout,collar_standoff_mm,cam_position,view_angle_deg,n_frames,n_detected,n_flipped,detector_version,notes,reproj_rms_px
coplanar,,axial,0,400,380,190,apriltag3-ref,,0.42
coplanar,,axial,2,400,380,190,apriltag3-ref,,0.42
coplanar,,axial,4,400,380,148,apriltag3-ref,,0.42
coplanar,,axial,6,400,380,98,apriltag3-ref,,0.42
coplanar,,axial,8,400,380,49,apriltag3-ref,,0.42
coplanar,,axial,10,400,380,0,apriltag3-ref,,0.42
coplanar,,axial,15,400,380,0,apriltag3-ref,,0.42
coplanar,,axial,30,400,380,0,apriltag3-ref,,0.42
coplanar,,axial,45,400,380,0,apriltag3-ref,,0.42
coplanar,,axial,60,400,380,0,apriltag3-ref,,0.42
coplanar,,axial,75,400,380,0,apriltag3-ref,,0.42
coplanar,,oblique,0,400,380,190,apriltag3-ref,,0.42
coplanar,,oblique,2,400,380,190,apriltag3-ref,,0.42
coplanar,,oblique,4,400,380,148,apriltag3-ref,,0.42
coplanar,,oblique,6,400,380,98,apriltag3-ref,,0.42
coplanar,,oblique,8,400,380,49,apriltag3-ref,,0.42
coplanar,,oblique,10,400,380,0,apriltag3-ref,,0.42
coplanar,,oblique,15,400,380,0,apriltag3-ref,,0.42
coplanar,,oblique,30,400,380,0,apriltag3-ref,,0.42
coplanar,,oblique,45,400,380,0,apriltag3-ref,,0.42
coplanar,,oblique,60,400,380,0,apriltag3-ref,,0.42
coplanar,,oblique,75,400,380,0,apriltag3-ref,,0.42
collar,18.0,axial,0,400,380,0,apriltag3-ref,,0.42
collar,18.0,axial,2,400,380,0,apriltag3-ref,,0.42
collar,18.0,axial,4,400,380,0,apriltag3-ref,,0.42
collar,18.0,axial,6,400,380,0,apriltag3-ref,,0.42
collar,18.0,axial,8,400,380,0,apriltag3-ref,,0.42
collar,18.0,axial,10,400,380,0,apriltag3-ref,,0.42
collar,18.0,axial,15,400,380,0,apriltag3-ref,,0.42
collar,18.0,axial,30,400,380,0,apriltag3-ref,,0.42
collar,18.0,axial,45,400,380,0,apriltag3-ref,,0.42
collar,18.0,axial,60,400,380,0,apriltag3-ref,,0.42
collar,18.0,axial,75,400,380,0,apriltag3-ref,,0.42
collar,18.0,oblique,0,400,380,0,apriltag3-ref,,0.42
collar,18.0,oblique,2,400,380,0,apriltag3-ref,,0.42
collar,18.0,oblique,4,400,380,0,apriltag3-ref,,0.42
collar,18.0,oblique,6,400,380,0,apriltag3-ref,,0.42
collar,18.0,oblique,8,400,380,0,apriltag3-ref,,0.42
collar,18.0,oblique,10,400,380,0,apriltag3-ref,,0.42
collar,18.0,oblique,15,400,380,0,apriltag3-ref,,0.42
collar,18.0,oblique,30,400,380,0,apriltag3-ref,,0.42
collar,18.0,oblique,45,400,380,0,apriltag3-ref,,0.42
collar,18.0,oblique,60,400,380,0,apriltag3-ref,,0.42
collar,18.0,oblique,75,400,380,0,apriltag3-ref,,0.42
collar,31.0,axial,0,400,380,0,apriltag3-ref,,0.42
collar,31.0,axial,2,400,380,0,apriltag3-ref,,0.42
collar,31.0,axial,4,400,380,0,apriltag3-ref,,0.42
collar,31.0,axial,6,400,380,0,apriltag3-ref,,0.42
collar,31.0,axial,8,400,380,0,apriltag3-ref,,0.42
collar,31.0,axial,10,400,380,0,apriltag3-ref,,0.42
collar,31.0,axial,15,400,380,0,apriltag3-ref,,0.42
collar,31.0,axial,30,400,380,0,apriltag3-ref,,0.42
collar,31.0,axial,45,400,380,0,apriltag3-ref,,0.42
collar,31.0,axial,60,400,380,0,apriltag3-ref,,0.42
collar,31.0,axial,75,400,380,0,apriltag3-ref,,0.42
collar,31.0,oblique,0,400,380,0,apriltag3-ref,,0.42
collar,31.0,oblique,2,400,380,0,apriltag3-ref,,0.42
collar,31.0,oblique,4,400,380,0,apriltag3-ref,,0.42
collar,31.0,oblique,6,400,380,0,apriltag3-ref,,0.42
collar,31.0,oblique,8,400,380,0,apriltag3-ref,,0.42
collar,31.0,oblique,10,400,380,0,apriltag3-ref,,0.42
collar,31.0,oblique,15,400,380,0,apriltag3-ref,,0.42
collar,31.0,oblique,30,400,380,0,apriltag3-ref,,0.42
collar,31.0,oblique,45,400,380,0,apriltag3-ref,,0.42
collar,31.0,oblique,60,400,380,0,apriltag3-ref,,0.42
collar,31.0,oblique,75,400,380,0,apriltag3-ref,,0.42
